,male-neutral,male-sadness,male-anger,male-boredom,male-happiness,male-disgust,female-happiness,female-neutral,female-sadness,female-boredom,female-anger,male-anxiety/fear,female-disgust,female-anxiety/fear
male-neutral,8,0,0,1,1,0,0,0,0,0,0,0,0,0
male-sadness,0,6,0,0,0,0,0,0,0,0,0,0,0,0
male-anger,0,0,9,0,0,1,0,0,0,0,0,0,0,0
male-boredom,0,1,0,6,0,0,0,0,0,0,0,0,0,0
male-happiness,2,0,0,1,3,0,1,0,0,0,0,0,1,0
male-disgust,0,0,1,0,0,8,0,0,0,0,0,0,0,0
female-happiness,0,0,0,0,0,0,8,0,0,0,0,0,0,0
female-neutral,0,0,0,0,0,0,0,15,0,0,0,0,0,0
female-sadness,0,0,0,0,0,0,0,0,1,0,0,0,0,0
female-boredom,0,0,0,0,0,0,0,0,0,6,0,0,0,1
female-anger,0,0,0,2,0,0,0,0,1,0,0,0,0,0
male-anxiety/fear,0,0,0,0,0,0,0,1,1,0,0,2,0,0
female-disgust,0,0,0,0,0,0,0,0,2,6,0,0,3,0
female-anxiety/fear,0,0,0,0,0,0,0,0,0,0,0,0,0,8
